행정구역,2022년04월_계_총인구수,2022년04월_계_연령구간인구수,2022년04월_계_0~4세,2022년04월_계_5~9세,2022년04월_계_10~14세,2022년04월_계_15~19세,2022년04월_계_20~24세,2022년04월_계_25~29세,2022년04월_계_30~34세,2022년04월_계_35~39세,2022년04월_계_40~44세,2022년04월_계_45~49세,2022년04월_계_50~54세,2022년04월_계_55~59세,2022년04월_계_60~64세,2022년04월_계_65~69세,2022년04월_계_70~74세,2022년04월_계_75~79세,2022년04월_계_80~84세,2022년04월_계_85~89세,2022년04월_계_90~94세,2022년04월_계_95~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~4세,2022년04월_남_5~9세,2022년04월_남_10~14세,2022년04월_남_15~19세,2022년04월_남_20~24세,2022년04월_남_25~29세,2022년04월_남_30~34세,2022년04월_남_35~39세,2022년04월_남_40~44세,2022년04월_남_45~49세,2022년04월_남_50~54세,2022년04월_남_55~59세,2022년04월_남_60~64세,2022년04월_남_65~69세,2022년04월_남_70~74세,2022년04월_남_75~79세,2022년04월_남_80~84세,2022년04월_남_85~89세,2022년04월_남_90~94세,2022년04월_남_95~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~4세,2022년04월_여_5~9세,2022년04월_여_10~14세,2022년04월_여_15~19세,2022년04월_여_20~24세,2022년04월_여_25~29세,2022년04월_여_30~34세,2022년04월_여_35~39세,2022년04월_여_40~44세,2022년04월_여_45~49세,2022년04월_여_50~54세,2022년04월_여_55~59세,2022년04월_여_60~64세,2022년04월_여_65~69세,2022년04월_여_70~74세,2022년04월_여_75~79세,2022년04월_여_80~84세,2022년04월_여_85~89세,2022년04월_여_90~94세,2022년04월_여_95~99세,2022년04월_여_100세 이상,2022년05월_계_총인구수,2022년05월_계_연령구간인구수,2022년05월_계_0~4세,2022년05월_계_5~9세,2022년05월_계_10~14세,2022년05월_계_15~19세,2022년05월_계_20~24세,2022년05월_계_25~29세,2022년05월_계_30~34세,2022년05월_계_35~39세,2022년05월_계_40~44세,2022년05월_계_45~49세,2022년05월_계_50~54세,2022년05월_계_55~59세,2022년05월_계_60~64세,2022년05월_계_65~69세,2022년05월_계_70~74세,2022년05월_계_75~79세,2022년05월_계_80~84세,2022년05월_계_85~89세,2022년05월_계_90~94세,2022년05월_계_95~99세,2022년05월_계_100세 이상,2022년05월_남_총인구수,2022년05월_남_연령구간인구수,2022년05월_남_0~4세,2022년05월_남_5~9세,2022년05월_남_10~14세,2022년05월_남_15~19세,2022년05월_남_20~24세,2022년05월_남_25~29세,2022년05월_남_30~34세,2022년05월_남_35~39세,2022년05월_남_40~44세,2022년05월_남_45~49세,2022년05월_남_50~54세,2022년05월_남_55~59세,2022년05월_남_60~64세,2022년05월_남_65~69세,2022년05월_남_70~74세,2022년05월_남_75~79세,2022년05월_남_80~84세,2022년05월_남_85~89세,2022년05월_남_90~94세,2022년05월_남_95~99세,2022년05월_남_100세 이상,2022년05월_여_총인구수,2022년05월_여_연령구간인구수,2022년05월_여_0~4세,2022년05월_여_5~9세,2022년05월_여_10~14세,2022년05월_여_15~19세,2022년05월_여_20~24세,2022년05월_여_25~29세,2022년05월_여_30~34세,2022년05월_여_35~39세,2022년05월_여_40~44세,2022년05월_여_45~49세,2022년05월_여_50~54세,2022년05월_여_55~59세,2022년05월_여_60~64세,2022년05월_여_65~69세,2022년05월_여_70~74세,2022년05월_여_75~79세,2022년05월_여_80~84세,2022년05월_여_85~89세,2022년05월_여_90~94세,2022년05월_여_95~99세,2022년05월_여_100세 이상,2022년05월_계_총인구수,2022년05월_계_연령구간인구수,2022년05월_계_0~4세,2022년05월_계_5~9세,2022년05월_계_10~14세,2022년05월_계_15~19세,2022년05월_계_20~24세,2022년05월_계_25~29세,2022년05월_계_30~34세,2022년05월_계_35~39세,2022년05월_계_40~44세,2022년05월_계_45~49세,2022년05월_계_50~54세,2022년05월_계_55~59세,2022년05월_계_60~64세,2022년05월_계_65~69세,2022년05월_계_70~74세,2022년05월_계_75~79세,2022년05월_계_80~84세,2022년05월_계_85~89세,2022년05월_계_90~94세,2022년05월_계_95~99세,2022년05월_계_100세 이상,2022년05월_남_총인구수,2022년05월_남_연령구간인구수,2022년05월_남_0~4세,2022년05월_남_5~9세,2022년05월_남_10~14세,2022년05월_남_15~19세,2022년05월_남_20~24세,2022년05월_남_25~29세,2022년05월_남_30~34세,2022년05월_남_35~39세,2022년05월_남_40~44세,2022년05월_남_45~49세,2022년05월_남_50~54세,2022년05월_남_55~59세,2022년05월_남_60~64세,2022년05월_남_65~69세,2022년05월_남_70~74세,2022년05월_남_75~79세,2022년05월_남_80~84세,2022년05월_남_85~89세,2022년05월_남_90~94세,2022년05월_남_95~99세,2022년05월_남_100세 이상,2022년05월_여_총인구수,2022년05월_여_연령구간인구수,2022년05월_여_0~4세,2022년05월_여_5~9세,2022년05월_여_10~14세,2022년05월_여_15~19세,2022년05월_여_20~24세,2022년05월_여_25~29세,2022년05월_여_30~34세,2022년05월_여_35~39세,2022년05월_여_40~44세,2022년05월_여_45~49세,2022년05월_여_50~54세,2022년05월_여_55~59세,2022년05월_여_60~64세,2022년05월_여_65~69세,2022년05월_여_70~74세,2022년05월_여_75~79세,2022년05월_여_80~84세,2022년05월_여_85~89세,2022년05월_여_90~94세,2022년05월_여_95~99세,2022년05월_여_100세 이상,2022년06월_계_총인구수,2022년06월_계_연령구간인구수,2022년06월_계_0~4세,2022년06월_계_5~9세,2022년06월_계_10~14세,2022년06월_계_15~19세,2022년06월_계_20~24세,2022년06월_계_25~29세,2022년06월_계_30~34세,2022년06월_계_35~39세,2022년06월_계_40~44세,2022년06월_계_45~49세,2022년06월_계_50~54세,2022년06월_계_55~59세,2022년06월_계_60~64세,2022년06월_계_65~69세,2022년06월_계_70~74세,2022년06월_계_75~79세,2022년06월_계_80~84세,2022년06월_계_85~89세,2022년06월_계_90~94세,2022년06월_계_95~99세,2022년06월_계_100세 이상,2022년06월_남_총인구수,2022년06월_남_연령구간인구수,2022년06월_남_0~4세,2022년06월_남_5~9세,2022년06월_남_10~14세,2022년06월_남_15~19세,2022년06월_남_20~24세,2022년06월_남_25~29세,2022년06월_남_30~34세,2022년06월_남_35~39세,2022년06월_남_40~44세,2022년06월_남_45~49세,2022년06월_남_50~54세,2022년06월_남_55~59세,2022년06월_남_60~64세,2022년06월_남_65~69세,2022년06월_남_70~74세,2022년06월_남_75~79세,2022년06월_남_80~84세,2022년06월_남_85~89세,2022년06월_남_90~94세,2022년06월_남_95~99세,2022년06월_남_100세 이상,2022년06월_여_총인구수,2022년06월_여_연령구간인구수,2022년06월_여_0~4세,2022년06월_여_5~9세,2022년06월_여_10~14세,2022년06월_여_15~19세,2022년06월_여_20~24세,2022년06월_여_25~29세,2022년06월_여_30~34세,2022년06월_여_35~39세,2022년06월_여_40~44세,2022년06월_여_45~49세,2022년06월_여_50~54세,2022년06월_여_55~59세,2022년06월_여_60~64세,2022년06월_여_65~69세,2022년06월_여_70~74세,2022년06월_여_75~79세,2022년06월_여_80~84세,2022년06월_여_85~89세,2022년06월_여_90~94세,2022년06월_여_95~99세,2022년06월_여_100세 이상
경상북도 경상북도 영천시 (4723000000),"101,492","101,492","2,585","2,877","3,106","3,395","4,676","4,709","4,351","4,660","5,446","6,663","8,625","9,353","10,787","9,089","7,388","5,379","4,745","2,685",831,123,19,"51,601","51,601","1,317","1,462","1,654","1,822","2,785","2,753","2,374","2,524","2,970","3,674","4,644","4,986","5,558","4,526","3,631","2,238","1,674",777,202,26,4,"49,891","49,891","1,268","1,415","1,452","1,573","1,891","1,956","1,977","2,136","2,476","2,989","3,981","4,367","5,229","4,563","3,757","3,141","3,071","1,908",629,97,15,"101,391","101,391","2,582","2,875","3,087","3,407","4,608","4,670","4,362","4,641","5,466","6,594","8,638","9,330","10,793","9,054","7,465","5,381","4,777","2,682",838,122,19,"51,529","51,529","1,322","1,461","1,648","1,826","2,744","2,727","2,386","2,507","2,985","3,629","4,654","4,969","5,560","4,517","3,662","2,241","1,679",778,204,26,4,"49,862","49,862","1,260","1,414","1,439","1,581","1,864","1,943","1,976","2,134","2,481","2,965","3,984","4,361","5,233","4,537","3,803","3,140","3,098","1,904",634,96,15,"101,391","101,391","2,582","2,875","3,087","3,407","4,608","4,670","4,362","4,641","5,466","6,594","8,638","9,330","10,793","9,054","7,465","5,381","4,777","2,682",838,122,19,"51,529","51,529","1,322","1,461","1,648","1,826","2,744","2,727","2,386","2,507","2,985","3,629","4,654","4,969","5,560","4,517","3,662","2,241","1,679",778,204,26,4,"49,862","49,862","1,260","1,414","1,439","1,581","1,864","1,943","1,976","2,134","2,481","2,965","3,984","4,361","5,233","4,537","3,803","3,140","3,098","1,904",634,96,15,"101,285","101,285","2,574","2,868","3,090","3,404","4,547","4,644","4,358","4,633","5,461","6,575","8,610","9,319","10,826","9,039","7,484","5,376","4,815","2,691",833,119,19,"51,481","51,481","1,312","1,464","1,645","1,823","2,711","2,714","2,395","2,499","2,992","3,624","4,621","4,978","5,561","4,525","3,667","2,242","1,696",780,204,25,3,"49,804","49,804","1,262","1,404","1,445","1,581","1,836","1,930","1,963","2,134","2,469","2,951","3,989","4,341","5,265","4,514","3,817","3,134","3,119","1,911",629,94,16
경상북도 영천시 금호읍(4723025000),"10,559","10,559",183,174,179,251,388,421,356,351,451,618,983,"1,193","1,309","1,102",868,704,622,305,88,11,2,"5,537","5,537",96,87,104,149,228,244,204,195,272,359,561,680,713,559,426,311,237,83,26,2,1,"5,022","5,022",87,87,75,102,160,177,152,156,179,259,422,513,596,543,442,393,385,222,62,9,1,"10,545","10,545",182,175,184,248,377,415,352,346,465,601,984,"1,193","1,309","1,100",877,697,629,305,93,11,2,"5,525","5,525",96,88,107,149,222,241,203,192,279,348,563,673,718,559,427,305,240,85,27,2,1,"5,020","5,020",86,87,77,99,155,174,149,154,186,253,421,520,591,541,450,392,389,220,66,9,1,"10,545","10,545",182,175,184,248,377,415,352,346,465,601,984,"1,193","1,309","1,100",877,697,629,305,93,11,2,"5,525","5,525",96,88,107,149,222,241,203,192,279,348,563,673,718,559,427,305,240,85,27,2,1,"5,020","5,020",86,87,77,99,155,174,149,154,186,253,421,520,591,541,450,392,389,220,66,9,1,"10,547","10,547",186,175,183,247,377,417,349,352,459,605,977,"1,193","1,316","1,095",878,700,631,303,91,11,2,"5,533","5,533",98,89,108,147,220,244,199,196,275,353,555,678,722,557,423,313,241,85,27,2,1,"5,014","5,014",88,86,75,100,157,173,150,156,184,252,422,515,594,538,455,387,390,218,64,9,1
경상북도 영천시 청통면(4723031000),"4,009","4,009",57,51,47,78,118,141,96,149,122,215,303,397,537,516,422,298,241,169,44,7,1,"2,100","2,100",31,32,23,44,68,92,52,92,85,144,168,214,296,265,216,132,84,52,9,1,0,"1,909","1,909",26,19,24,34,50,49,44,57,37,71,135,183,241,251,206,166,157,117,35,6,1,"4,011","4,011",61,49,48,78,115,140,98,149,123,212,305,394,536,516,425,298,242,170,44,7,1,"2,098","2,098",33,30,24,45,65,92,51,94,85,143,167,215,291,265,221,132,81,54,9,1,0,"1,913","1,913",28,19,24,33,50,48,47,55,38,69,138,179,245,251,204,166,161,116,35,6,1,"4,011","4,011",61,49,48,78,115,140,98,149,123,212,305,394,536,516,425,298,242,170,44,7,1,"2,098","2,098",33,30,24,45,65,92,51,94,85,143,167,215,291,265,221,132,81,54,9,1,0,"1,913","1,913",28,19,24,33,50,48,47,55,38,69,138,179,245,251,204,166,161,116,35,6,1,"4,006","4,006",64,49,48,80,114,136,95,152,126,208,304,390,537,515,422,300,242,173,43,7,1,"2,091","2,091",33,30,23,46,64,90,49,95,85,139,168,216,290,265,219,134,81,54,9,1,0,"1,915","1,915",31,19,25,34,50,46,46,57,41,69,136,174,247,250,203,166,161,119,34,6,1
경상북도 영천시 신녕면(4723032000),"3,776","3,776",46,48,62,149,89,82,102,101,142,184,258,348,495,477,374,319,279,159,54,7,1,"1,862","1,862",25,27,33,74,52,51,64,59,79,111,143,208,248,223,184,119,106,47,6,2,1,"1,914","1,914",21,21,29,75,37,31,38,42,63,73,115,140,247,254,190,200,173,112,48,5,0,"3,766","3,766",45,48,63,148,87,83,101,99,141,183,259,344,492,475,380,319,280,156,55,7,1,"1,861","1,861",25,26,34,72,52,52,63,58,78,109,146,208,247,225,184,120,107,44,8,2,1,"1,905","1,905",20,22,29,76,35,31,38,41,63,74,113,136,245,250,196,199,173,112,47,5,0,"3,766","3,766",45,48,63,148,87,83,101,99,141,183,259,344,492,475,380,319,280,156,55,7,1,"1,861","1,861",25,26,34,72,52,52,63,58,78,109,146,208,247,225,184,120,107,44,8,2,1,"1,905","1,905",20,22,29,76,35,31,38,41,63,74,113,136,245,250,196,199,173,112,47,5,0,"3,748","3,748",44,46,65,144,87,81,103,96,141,179,265,338,493,474,380,313,284,155,53,6,1,"1,849","1,849",25,24,35,71,52,51,63,56,79,104,150,205,245,225,184,115,110,44,8,2,1,"1,899","1,899",19,22,30,73,35,30,40,40,62,75,115,133,248,249,196,198,174,111,45,4,0
경상북도 영천시 화산면(4723033000),"3,138","3,138",38,18,48,38,76,86,74,69,87,166,248,326,384,395,332,268,257,171,48,8,1,"1,645","1,645",21,12,30,22,53,64,45,39,52,107,151,187,223,211,170,106,82,53,14,3,0,"1,493","1,493",17,6,18,16,23,22,29,30,35,59,97,139,161,184,162,162,175,118,34,5,1,"3,135","3,135",40,18,45,37,72,84,76,68,85,166,250,323,385,391,342,264,263,170,47,8,1,"1,646","1,646",22,12,27,21,52,63,47,37,51,109,153,186,224,207,177,104,86,52,13,3,0,"1,489","1,489",18,6,18,16,20,21,29,31,34,57,97,137,161,184,165,160,177,118,34,5,1,"3,135","3,135",40,18,45,37,72,84,76,68,85,166,250,323,385,391,342,264,263,170,47,8,1,"1,646","1,646",22,12,27,21,52,63,47,37,51,109,153,186,224,207,177,104,86,52,13,3,0,"1,489","1,489",18,6,18,16,20,21,29,31,34,57,97,137,161,184,165,160,177,118,34,5,1,"3,125","3,125",39,19,46,36,72,82,73,70,84,161,252,318,390,391,339,264,265,169,46,8,1,"1,642","1,642",20,13,28,21,52,61,44,40,50,110,150,186,224,207,177,104,87,52,13,3,0,"1,483","1,483",19,6,18,15,20,21,29,30,34,51,102,132,166,184,162,160,178,117,33,5,1
경상북도 영천시 화북면(4723034000),"2,173","2,173",35,17,52,34,48,52,40,48,53,99,133,251,316,267,238,165,165,108,42,7,3,"1,075","1,075",15,12,31,15,23,27,25,27,30,62,85,124,163,147,125,71,52,33,7,0,1,"1,098","1,098",20,5,21,19,25,25,15,21,23,37,48,127,153,120,113,94,113,75,35,7,2,"2,163","2,163",37,15,49,35,49,45,41,47,52,97,133,249,316,270,241,160,167,109,42,6,3,"1,068","1,068",16,11,31,15,23,22,26,25,29,59,85,125,163,150,125,68,54,33,7,0,1,"1,095","1,095",21,4,18,20,26,23,15,22,23,38,48,124,153,120,116,92,113,76,35,6,2,"2,163","2,163",37,15,49,35,49,45,41,47,52,97,133,249,316,270,241,160,167,109,42,6,3,"1,068","1,068",16,11,31,15,23,22,26,25,29,59,85,125,163,150,125,68,54,33,7,0,1,"1,095","1,095",21,4,18,20,26,23,15,22,23,38,48,124,153,120,116,92,113,76,35,6,2,"2,160","2,160",35,16,49,33,48,44,42,51,51,97,127,246,321,272,242,160,166,107,45,5,3,"1,068","1,068",16,11,32,14,23,21,28,26,28,59,82,121,167,153,125,67,55,30,10,0,0,"1,092","1,092",19,5,17,19,25,23,14,25,23,38,45,125,154,119,117,93,111,77,35,5,3
경상북도 영천시 화남면(4723035000),"3,219","3,219",46,31,28,104,85,85,76,83,80,134,232,345,466,411,373,236,214,134,49,5,2,"1,700","1,700",19,15,17,88,52,60,42,51,49,90,139,195,236,216,206,103,68,38,15,1,0,"1,519","1,519",27,16,11,16,33,25,34,32,31,44,93,150,230,195,167,133,146,96,34,4,2,"3,222","3,222",46,32,32,102,80,92,73,83,81,132,235,338,469,411,371,239,216,132,51,5,2,"1,698","1,698",19,15,19,86,49,65,41,50,51,87,140,191,239,214,204,105,70,36,16,1,0,"1,524","1,524",27,17,13,16,31,27,32,33,30,45,95,147,230,197,167,134,146,96,35,4,2,"3,222","3,222",46,32,32,102,80,92,73,83,81,132,235,338,469,411,371,239,216,132,51,5,2,"1,698","1,698",19,15,19,86,49,65,41,50,51,87,140,191,239,214,204,105,70,36,16,1,0,"1,524","1,524",27,17,13,16,31,27,32,33,30,45,95,147,230,197,167,134,146,96,35,4,2,"3,219","3,219",47,31,31,102,79,89,73,82,83,135,231,335,472,413,373,233,222,130,51,5,2,"1,703","1,703",19,15,19,86,50,63,42,48,54,89,139,190,240,217,204,105,71,36,15,1,0,"1,516","1,516",28,16,12,16,29,26,31,34,29,46,92,145,232,196,169,128,151,94,36,4,2
경상북도 영천시 자양면(4723036000),"1,206","1,206",10,8,19,15,36,29,23,25,21,40,90,159,200,130,107,106,98,61,26,3,0,602,602,6,4,10,7,17,19,11,16,12,24,52,80,114,78,50,42,29,21,8,2,0,604,604,4,4,9,8,19,10,12,9,9,16,38,79,86,52,57,64,69,40,18,1,0,"1,202","1,202",9,9,19,15,32,31,22,24,20,43,89,157,204,128,105,106,99,60,27,3,0,600,600,6,4,10,7,15,19,11,14,12,25,52,78,118,78,49,44,28,19,9,2,0,602,602,3,5,9,8,17,12,11,10,8,18,37,79,86,50,56,62,71,41,18,1,0,"1,202","1,202",9,9,19,15,32,31,22,24,20,43,89,157,204,128,105,106,99,60,27,3,0,600,600,6,4,10,7,15,19,11,14,12,25,52,78,118,78,49,44,28,19,9,2,0,602,602,3,5,9,8,17,12,11,10,8,18,37,79,86,50,56,62,71,41,18,1,0,"1,206","1,206",9,9,18,16,32,30,23,24,20,43,88,159,205,130,101,106,100,63,27,3,0,602,602,6,4,9,8,15,18,12,14,12,24,53,78,120,78,47,46,27,20,9,2,0,604,604,3,5,9,8,17,12,11,10,8,19,35,81,85,52,54,60,73,43,18,1,0
경상북도 영천시 임고면(4723037000),"4,148","4,148",54,49,64,72,106,127,90,101,118,199,312,382,514,497,507,356,344,186,57,12,1,"2,109","2,109",33,28,32,45,59,84,44,61,69,123,186,208,274,240,249,151,137,66,15,5,0,"2,039","2,039",21,21,32,27,47,43,46,40,49,76,126,174,240,257,258,205,207,120,42,7,1,"4,134","4,134",58,49,62,73,105,120,92,101,120,190,311,384,514,500,502,361,337,185,57,12,1,"2,093","2,093",35,28,30,44,59,79,46,59,71,119,183,208,275,240,246,153,132,66,15,5,0,"2,041","2,041",23,21,32,29,46,41,46,42,49,71,128,176,239,260,256,208,205,119,42,7,1,"4,134","4,134",58,49,62,73,105,120,92,101,120,190,311,384,514,500,502,361,337,185,57,12,1,"2,093","2,093",35,28,30,44,59,79,46,59,71,119,183,208,275,240,246,153,132,66,15,5,0,"2,041","2,041",23,21,32,29,46,41,46,42,49,71,128,176,239,260,256,208,205,119,42,7,1,"4,139","4,139",57,49,60,75,107,118,87,104,117,193,313,383,512,504,500,364,338,187,57,13,1,"2,098","2,098",34,29,30,45,61,78,42,62,70,121,184,207,273,245,244,152,134,67,15,5,0,"2,041","2,041",23,20,30,30,46,40,45,42,47,72,129,176,239,259,256,212,204,120,42,8,1
경상북도 영천시 고경면(4723038000),"5,713","5,713",105,129,120,107,512,228,210,190,241,257,372,469,636,587,511,406,346,220,58,7,2,"3,095","3,095",51,70,64,46,422,153,125,109,142,159,219,244,345,298,264,181,127,61,12,3,0,"2,618","2,618",54,59,56,61,90,75,85,81,99,98,153,225,291,289,247,225,219,159,46,4,2,"5,686","5,686",103,128,122,107,491,234,204,189,240,254,370,469,637,573,519,411,346,222,59,6,2,"3,073","3,073",51,68,65,47,406,157,119,109,143,157,215,244,345,296,266,180,127,63,12,3,0,"2,613","2,613",52,60,57,60,85,77,85,80,97,97,155,225,292,277,253,231,219,159,47,3,2,"5,686","5,686",103,128,122,107,491,234,204,189,240,254,370,469,637,573,519,411,346,222,59,6,2,"3,073","3,073",51,68,65,47,406,157,119,109,143,157,215,244,345,296,266,180,127,63,12,3,0,"2,613","2,613",52,60,57,60,85,77,85,80,97,97,155,225,292,277,253,231,219,159,47,3,2,"5,669","5,669",102,124,117,103,479,238,207,183,239,249,373,470,647,570,518,414,350,220,58,6,2,"3,069","3,069",52,66,61,47,396,162,125,105,142,155,216,249,345,291,268,184,129,62,11,3,0,"2,600","2,600",50,58,56,56,83,76,82,78,97,94,157,221,302,279,250,230,221,158,47,3,2
