행정구역,2024년04월_계_총인구수,2024년04월_계_연령구간인구수,2024년04월_계_0~4세,2024년04월_계_5~9세,2024년04월_계_10~14세,2024년04월_계_15~19세,2024년04월_계_20~24세,2024년04월_계_25~29세,2024년04월_계_30~34세,2024년04월_계_35~39세,2024년04월_계_40~44세,2024년04월_계_45~49세,2024년04월_계_50~54세,2024년04월_계_55~59세,2024년04월_계_60~64세,2024년04월_계_65~69세,2024년04월_계_70~74세,2024년04월_계_75~79세,2024년04월_계_80~84세,2024년04월_계_85~89세,2024년04월_계_90~94세,2024년04월_계_95~99세,2024년04월_계_100세 이상,2024년04월_남_총인구수,2024년04월_남_연령구간인구수,2024년04월_남_0~4세,2024년04월_남_5~9세,2024년04월_남_10~14세,2024년04월_남_15~19세,2024년04월_남_20~24세,2024년04월_남_25~29세,2024년04월_남_30~34세,2024년04월_남_35~39세,2024년04월_남_40~44세,2024년04월_남_45~49세,2024년04월_남_50~54세,2024년04월_남_55~59세,2024년04월_남_60~64세,2024년04월_남_65~69세,2024년04월_남_70~74세,2024년04월_남_75~79세,2024년04월_남_80~84세,2024년04월_남_85~89세,2024년04월_남_90~94세,2024년04월_남_95~99세,2024년04월_남_100세 이상,2024년04월_여_총인구수,2024년04월_여_연령구간인구수,2024년04월_여_0~4세,2024년04월_여_5~9세,2024년04월_여_10~14세,2024년04월_여_15~19세,2024년04월_여_20~24세,2024년04월_여_25~29세,2024년04월_여_30~34세,2024년04월_여_35~39세,2024년04월_여_40~44세,2024년04월_여_45~49세,2024년04월_여_50~54세,2024년04월_여_55~59세,2024년04월_여_60~64세,2024년04월_여_65~69세,2024년04월_여_70~74세,2024년04월_여_75~79세,2024년04월_여_80~84세,2024년04월_여_85~89세,2024년04월_여_90~94세,2024년04월_여_95~99세,2024년04월_여_100세 이상
경상북도 경상북도 영천시 (4723000000),"100,146","100,146","2,310","2,541","2,977","3,307","3,880","4,273","4,283","4,259","5,417","5,901","8,043","9,679","11,074","9,838","7,659","5,593","5,080","2,872",990,154,16,"51,208","51,208","1,157","1,300","1,555","1,752","2,438","2,474","2,385","2,296","2,995","3,281","4,358","5,210","5,756","5,071","3,689","2,560","1,826",848,227,29,1,"48,938","48,938","1,153","1,241","1,422","1,555","1,442","1,799","1,898","1,963","2,422","2,620","3,685","4,469","5,318","4,767","3,970","3,033","3,254","2,024",763,125,15
경상북도 영천시 금호읍(4723025000),"10,413","10,413",180,143,187,224,307,370,386,333,429,537,845,"1,181","1,337","1,215",904,690,691,341,94,18,1,"5,508","5,508",84,65,116,133,191,218,224,185,251,320,485,685,741,632,463,311,258,117,25,4,0,"4,905","4,905",96,78,71,91,116,152,162,148,178,217,360,496,596,583,441,379,433,224,69,14,1
경상북도 영천시 청통면(4723031000),"3,974","3,974",59,29,39,74,84,123,101,128,136,177,268,411,542,546,427,312,282,164,60,11,1,"2,106","2,106",36,24,21,42,54,73,59,75,91,118,164,234,289,304,199,163,97,52,10,1,0,"1,868","1,868",23,5,18,32,30,50,42,53,45,59,104,177,253,242,228,149,185,112,50,10,1
경상북도 영천시 신녕면(4723032000),"3,711","3,711",51,30,49,180,76,95,97,85,115,153,235,333,478,506,384,293,311,168,63,9,0,"1,845","1,845",27,19,26,80,44,56,55,45,69,91,142,187,260,260,189,122,112,50,9,2,0,"1,866","1,866",24,11,23,100,32,39,42,40,46,62,93,146,218,246,195,171,199,118,54,7,0
경상북도 영천시 화산면(4723033000),"3,074","3,074",41,26,35,32,61,66,80,73,91,122,217,303,397,417,345,252,284,169,55,7,1,"1,617","1,617",20,15,17,20,45,51,53,37,54,82,136,168,230,244,176,117,91,47,13,1,0,"1,457","1,457",21,11,18,12,16,15,27,36,37,40,81,135,167,173,169,135,193,122,42,6,1
경상북도 영천시 화북면(4723034000),"2,216","2,216",24,18,53,37,33,31,37,45,43,79,118,256,376,305,263,165,163,105,51,13,1,"1,096","1,096",10,11,34,14,26,14,23,27,20,45,72,138,183,166,138,81,55,25,14,0,0,"1,120","1,120",14,7,19,23,7,17,14,18,23,34,46,118,193,139,125,84,108,80,37,13,1
경상북도 영천시 화남면(4723035000),"3,197","3,197",47,30,30,88,51,77,80,86,78,115,202,335,458,450,380,260,232,142,52,4,0,"1,706","1,706",24,14,16,73,29,50,45,45,58,75,120,187,249,245,209,131,80,42,12,2,0,"1,491","1,491",23,16,14,15,22,27,35,41,20,40,82,148,209,205,171,129,152,100,40,2,0
경상북도 영천시 자양면(4723036000),"1,325","1,325",9,9,18,13,34,27,31,27,32,34,92,167,242,181,111,111,85,72,24,6,0,691,691,6,5,14,5,17,18,21,15,19,21,52,80,146,107,58,58,17,23,8,1,0,634,634,3,4,4,8,17,9,10,12,13,13,40,87,96,74,53,53,68,49,16,5,0
경상북도 영천시 임고면(4723037000),"4,185","4,185",53,36,57,79,76,137,98,93,136,184,286,411,524,516,486,388,343,206,64,11,1,"2,145","2,145",23,25,28,51,47,89,62,46,79,112,169,217,291,270,232,169,146,69,15,5,0,"2,040","2,040",30,11,29,28,29,48,36,47,57,72,117,194,233,246,254,219,197,137,49,6,1
경상북도 영천시 고경면(4723038000),"5,809","5,809",103,102,123,114,501,217,202,188,254,259,339,446,710,636,530,390,399,204,86,5,1,"3,206","3,206",59,56,65,57,412,140,123,106,152,166,216,240,368,354,265,191,156,62,17,1,0,"2,603","2,603",44,46,58,57,89,77,79,82,102,93,123,206,342,282,265,199,243,142,69,4,1
경상북도 영천시 북안면(4723039000),"4,384","4,384",39,24,34,70,97,120,89,107,142,185,288,444,611,568,499,379,375,220,83,8,2,"2,310","2,310",17,14,19,42,58,64,56,71,100,113,170,265,331,305,254,192,151,64,21,3,0,"2,074","2,074",22,10,15,28,39,56,33,36,42,72,118,179,280,263,245,187,224,156,62,5,2
경상북도 영천시 대창면(4723040000),"3,013","3,013",43,23,40,47,61,83,84,81,122,110,218,307,412,442,359,214,191,128,40,8,0,"1,607","1,607",17,13,22,20,38,46,45,51,85,71,137,183,243,223,194,106,65,38,9,1,0,"1,406","1,406",26,10,18,27,23,37,39,30,37,39,81,124,169,219,165,108,126,90,31,7,0
경상북도 영천시 동부동(4723051000),"26,978","26,978",778,"1,112","1,263","1,232","1,271","1,488","1,477","1,509","2,001","2,049","2,577","2,524","2,414","1,914","1,268",866,683,392,138,20,2,"13,272","13,272",372,565,632,664,737,858,810,780,"1,044","1,023","1,250","1,285","1,121",894,538,362,227,80,26,4,0,"13,706","13,706",406,547,631,568,534,630,667,729,957,"1,026","1,327","1,239","1,293","1,020",730,504,456,312,112,16,2
경상북도 영천시 중앙동(4723052000),"9,385","9,385",250,384,439,432,473,558,503,500,657,664,829,837,809,658,501,364,302,162,55,8,0,"4,753","4,753",129,197,240,214,286,324,280,261,321,366,436,409,405,310,251,141,111,58,14,0,0,"4,632","4,632",121,187,199,218,187,234,223,239,336,298,393,428,404,348,250,223,191,104,41,8,0
경상북도 영천시 서부동(4723053500),"4,555","4,555",56,60,99,154,223,199,163,164,218,252,350,504,498,479,390,283,264,137,52,7,3,"2,314","2,314",36,32,41,64,140,104,96,92,129,156,200,267,264,240,180,128,93,39,12,1,0,"2,241","2,241",20,28,58,90,83,95,67,72,89,96,150,237,234,239,210,155,171,98,40,6,3
경상북도 영천시 완산동(4723054000),"10,028","10,028",489,423,411,442,417,498,695,664,759,729,854,824,821,641,513,391,273,143,32,9,0,"4,908","4,908",251,198,203,225,236,264,340,355,396,357,421,424,377,313,210,177,101,48,10,2,0,"5,120","5,120",238,225,208,217,181,234,355,309,363,372,433,400,444,328,303,214,172,95,22,7,0
경상북도 영천시 남부동(4723055500),"3,899","3,899",88,92,100,89,115,184,160,176,204,252,325,396,445,364,299,235,202,119,41,10,3,"2,124","2,124",46,47,61,48,78,105,93,105,127,165,188,241,258,204,133,111,66,34,12,1,1,"1,775","1,775",42,45,39,41,37,79,67,71,77,87,137,155,187,160,166,124,136,85,29,9,2
